candidate_name,district,party,party_code,state,office,race_key,source_name,source_url
"CARL, JERRY LEE, JR",AL-01,Republican Party,REP,AL,U.S. House,2026-H-AL-01,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"SEWELL, TERRI A.",AL-07,Democratic Party,DEM,AL,U.S. House,2026-H-AL-07,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"CRAWFORD, ERIC ALAN RICK",AR-01,Republican Party,REP,AR,U.S. House,2026-H-AR-01,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"WOMACK, STEPHEN A THE HON",AR-03,Republican Party,REP,AR,U.S. House,2026-H-AR-03,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"GOSAR, PAUL DR.",AZ-09,Republican Party,REP,AZ,U.S. House,2026-H-AZ-09,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"SAULSBURY, PAUL W",CA-02,Republican Party,REP,CA,U.S. House,2026-H-CA-02,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"BERA, AMERISH",CA-03,Democratic Party,DEM,CA,U.S. House,2026-H-CA-03,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"BISH, CHRISTINE S",CA-03,Republican Party,REP,CA,U.S. House,2026-H-CA-03,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"OBERNOLTE, JAY",CA-23,Republican Party,REP,CA,U.S. House,2026-H-CA-23,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"DESAULNIER, MARK",CA-10,Democratic Party,DEM,CA,U.S. House,2026-H-CA-10,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
"GARAMENDI, JOHN",CA-08,Democratic Party,DEM,CA,U.S. House,2026-H-CA-08,FEC 2026 Candidate Master,https://www.fec.gov/files/bulk-downloads/2026/cn26.zip
